data_pozyskania,zestawienie_zrodel_ciepla,liczba_budynkow,udzial_procentowy
2026-04-13,BUDYNKI WYŁĄCZNIE ZE ŹRÓDŁAMI CIEPŁA NA PALIWA STAŁE,3570826,56.8
2026-04-13,BUDYNKI WYŁĄCZNIE ZE ŹRÓDŁAMI CIEPŁA NISKOEMISYJNYMI / BEZEMISYJNYMI,1576711,25.08
2026-04-13,BUDYNKI ZE ŹRÓDŁAMI NA PALIWA STAŁE ORAZ NISKOEMISYJNYMI / BEZEMISYJNYMI,1054533,16.77
2026-04-13,DANE DO WERYFIKACJI,84841,1.35
2026-04-13,Dane do weryfikacji,84841,1.35
2026-04-13,kocioł automatyczny kl. 5 lub ekoprojekt,459782,7.31
2026-04-13,kocioł gazowy,1200504,19.1
2026-04-13,kocioł kl. 3 lub kl. 4,779681,12.4
2026-04-13,kocioł olejowy,32684,0.52
2026-04-13,kocioł pozaklasowy,1135921,18.07
2026-04-13,kocioł zasypowy kl. 5 lub ekoprojekt,143463,2.28
2026-04-13,miejska sieć ciepłownicza,40021,0.64
2026-04-13,mix źródeł bezemisyjnych,2418,0.04
2026-04-13,mix źródeł bezemisyjnych + źródeł niskoemisyjnych,24502,0.39
2026-04-13,mix źródeł na paliwa stałe 1 (kocioł pozaklasowy + ogrzewacz),310034,4.93
2026-04-13,mix źródeł na paliwa stałe 2 (w tym kocioł kl. 5 lub ekoprojekt),84272,1.34
2026-04-13,mix źródeł na paliwa stałe 3 (pozostałe przypadki),112362,1.79
2026-04-13,mix źródeł niskoemisyjnych,980,0.02
2026-04-13,ogrzewacz na paliwo stałe,545311,8.67
2026-04-13,ogrzewanie elektryczne,57768,0.92
2026-04-13,pompa ciepła,217834,3.46
2026-04-13,źródła c.o. niskoemisyjne lub bezemisyjne + kocioł kl. 5 lub ekoprojekt,32958,0.52
2026-04-13,źródła c.o. niskoemisyjne lub bezemisyjne + kocioł poniżej klasy 5,208544,3.32
2026-04-13,źródła c.o. niskoemisyjne lub bezemisyjne + mix źródeł na paliwa stałe,66210,1.05
2026-04-13,źródła c.o. niskoemisyjne lub bezemisyjne + ogrzewacz na paliwa stałe,746821,11.88
